Product Name,Category,SKU,Model,Price,Quantity,Description,Image
Oraimo OH-B2N Blender (Black),Home Appliances,JNE-OHB2NBLA-400,OH-B2N Black,142830,10,"oraimo SmartBlender Sleek countertop blender (OH-B2N) - 1.5L AS plastic jar with scale and handle, 500W rated (2 speed settings up to 240W/23,000RPM), ice-crushing blades, non-slip base, safety interlock, quick self-clean mode.",
Oraimo OSV-252A Stick Vacuum,Home Appliances,JNE-OSV252A-949,OSV-252A,142830,10,"oraimo CordForce Flex corded stick vacuum (OSV-252A) - 550W motor, switches between stick and handheld modes, E12 HEPA filtration with dual sponge filters, lightweight ABS body, self-standing design, includes upholstery brush and long suction nozzle.",
"oraimo Watch Nova AM Smartwatch (OSW-812, Light Chrome)",Smart Watches,JNE-OSW812LI-743,OSW-812 Light chrome,155250,10,"oraimo Watch Nova AM Smartwatch (OSW-812, Light Chrome) — Vivld amoled ultimate power watch nova am.SPECS
Display Screen: 2.01'' AMOLED (390*450)
BT Version: V5.2
Material: ABS/PC/Silica gel
Battery Type: Lithium polymer
Battery Capacity: 340mAh
Charging Time: 3 hoursNormal
Using Time: 24 days
Standby Time: 60 days
Watch Size: 50.5*40*13.2mm
Weight: 41.5g
Waterproof: IP68",
"oraimo SpaceBuds Earbuds (OTW-630, Space Grey)",Headphones & Earbuds,JNE-OTW630SP-733,OTW-630 SPACE GREY,167670,10,"Space Pods. SPECS
Bluetooth Version: V5.4
Range: 10m
Music Playtime: Up to 11 hours, the case provides additional 29 hours (ANC OFF); Up to 8 hours, the case provides additional 21 hours (ANC ON)
Battery Capacity: 76mAh (each earbud)
Charging Time: Approx. 1.5 hours
*oraimo Lab test results",
"oraimo BoomPop Pro Headphones (OHP-917, Graphite)",Headphones & Earbuds,JNE-OHP917GR-982,OHP-917 Graphite,167670,10,"SPECS
Bluetooth Version: V5.4
Bluetooth Range: 10m
Playtime: Up to 82 hours (ANC OFF); up to 53 hours (ANC ON)
Charging Time: Approx. 2 hours
Charging Port: Type-C",
oraimo SmartBlender (OH-B1),Home Appliances,JNE-OHB1-470,OH-B1,167670,10,"Blender oraimo UK OH-B1 Black. SPECS
Rated power: AC220-240V 50Hz 500W
Capacity: 1.5L
Model：OH-B1",
"oraimo OpenCirclet 2 Neckband Earphones (OPN-672, Black)",Headphones & Earbuds,JNE-OPN672BL-691,OPN-672 Black,186300,10,"Neck earphones. SPECS
Bluetooth Version: V5.4BT
Range: ≥10m
Playtime: Up to 16 hours
Charging Port: Type-C
*oraimo Lab test result",
"oraimo Watch 5R Pro Smartwatch (OSW-830, Black)",Smart Watches,JNE-OSW830BL-296,OSW-830 Black,186300,10,"oraimo Watch 5R Pro Smartwatch (OSW-830, Black) — Innovative display heartfelt care oraimo watch 5r pro. SPECS
Display Screen: 1.43"" AMOLED
BT Version: V5.3
Material: ABS/PC/Zinc alloy
Battery Capacity: 300mAh
Battery Type: Lithium polymer
Rated Voltage: 5V
Charging Time: 2.5 hours
Normal Usage Time: 11 days
Standby Time: More than 32 days
Watch Size: 46.5*11.4mm
Weight: 63.97g (with strap)
Waterproof: IP68
*oraimo Lab test results.",
Oraimo OEI-801A,Charges & Cables,JNE-OEI801A-821,OEI-801A,180090,10,"oraimo SmartIron 2-in-1 steaming iron (OEI-801A) - 1460-1740W rated power, ABS+ceramic soleplate, 130ml water tank, 6 steam levels, ~25-second heat-up, 180° foldable handle, compact 186x78x107mm design for travel.",
"oraimo OpenArc Earbuds (OPN-675, AFR)",Headphones & Earbuds,JNE-OPN675AF-171,OPN-675 AFR,186300,10,"oraimo OpenArc Earbuds (OPN-675, AFR) — Feel the freedom wear the comfort openarc. SPECS
Bluetooth Version: V5.4
Bluetooth Range: 10m
Playtime: Up to 8 hours; the case provides an additional 28 hours.
Charging Time: Approx. 1.5 hours
Charging Port: Type-C
*oraimo Lab test results",
oraimo Watch Nova RV Smartwatch (OSW-822N),Smart Watches,JNE-OSW822N-146,OSW-822N,186300,10,"SPECS
Display Screen: 1.39"" Full Touch Color Screen
BT Version: V5.3
Material: ABS/PC/Zinc alloy
Battery Capacity: 300mAh
Battery Type: Lithium polymer
Rated Voltage: 5V
Charging Time: 3 Hours
Normal Usage Time:  6 Days
Waterproof: IP68
Standby Time: More than 21 Days
Watch Size: 48.3*12.2mm (without strap)
Weight: 74.73g (without strap）",
oraimo SmartClipper Pro Max Hair Clipper (OCL-560),Personal Care Appliances,JNE-OCL560-777,OCL-560,204930,10,"SPECS
Product Size: 180*56.7*38.8mm
Product Material: Aluminum alloy+PC
Blade Material: Stainless steel+DLC coating
Rated Input: 5V⎓3A
Rated Power: 15W
Battery Capacity: 3.7V/4500mAh
Charging Time: 1.5-2 Hours
Full Run Time: 5 Hours",
Oraimo OMJ-201A Slow Juicer (Graphite Grey),Home Appliances,JNE-OMJ201A-333,OMJ-201A,204930,10,"oraimo EasyJuice Mini portable slow juicer (OMJ-201A) - 130W motor, 500ml capacity, slow-press/masticating extraction with automatic pulp separation, no added water needed, compact coke-bottle-sized body (125x100x360mm), <70dB noise.",
oraimo Boom Wireless Speaker (OBS-75D),Speakers & Home Theaters,JNE-OBS75D-891,OBS-75D,211140,10,"SPECS
Size: 360*132*133mm
BT Version: V5.0
BT Range: 10m
Frequency Response: 85Hz~16KHz
Battery Capacity: 3600mAh
Play Time: 6 hours (Lights On); 7 hours (Lights Off)
Speaker Output: 30W
Model: OBS-75D",
oraimo SwiftDry Hair Dryer (OHD-550N),Personal Care Appliances,JNE-OHD550N-396,OHD-550N,217350,10,"SPECS
Product Material: PC+ABS
Rated Voltage: 220-240V~/50-60Hz
Rated Power: 1700-2000W",
"oraimo SmartAirFryer (OH-AF210N, Black)",Home Appliances,JNE-OHAF210N-181,OH-AF210N,217350,10,"AirFryer oraimo OH-AF210N Black UK. SPECS
Size: 34.5*26*28.5cm
Material(Frying Basket): 304 stainless steel
Material(Grill Pan): Aluminum plated plate+non-stick pot coating
Weight: 3.9KGS±3%
Power Plug Type: UK
Temperature Control: 90-200 ℃, with a temperature difference of<15 degrees
Input Voltage: 220V/50Hz
Power Rating: 1500W",
"oraimo PowerJet 130 Power Bank (OPB-727SQ, Black)",Power Banks,JNE-OPB727SQ-975,OPB-727SQ,285660,10,"POWER BANK-ORAIMO 130-W BLACK. SPECS
Capacity/Energy: 27600mAh/99.3Wh
Input (Type-C1): 5V⎓3A; 9V⎓3A; 12V⎓3A; 15V⎓3A; 20V⎓5A (100W Max)
Output(Type-C1): 5V⎓3A; 9V⎓3A; 12V⎓3A; 15V⎓3A; 20V⎓5A (100W Max)
Output(Type-C2): 5V⎓3A; 9V⎓3A; 12V⎓2.5A; 15V⎓2A (30W Max)
Output(USB-A): 5V⎓3A; 5V⎓4.5A; 4.5V⎓5A; 9V⎓2.5A; 12V⎓2A (24W Max)
Output(C1+C2): 100W+30W (Total 130W Max)
Output(C1+A): 100W+24W (Total 124W Max)
Output(C2+A): Total 30W Max
Output(C1+C2+A): 100W+30W (Total 130W Max)
Contains: Power Bank*1, 100W USB-C to USB-C Charging Cable*1, Travvel Pouch*1
Compatible with the majority of devices such as Apple, Samsung, TECNO, Infinix, HP, DELL, and Lenovo, among others
Model: OPB-727SQ",
Oraimo OMJ-501A Slow Juicer (Graphite),Home Appliances,JNE-OMJ501AG-338,OMJ-501A GRAPHITE,298080,10,"oraimo EasyJuice slow juicer (OMJ-501A) - 200W motor, 800ml capacity, 108mm large feed chute for whole fruit, 150N·m torque, ~94% juice yield, automatic pulp/juice separation, non-metallic blade to reduce oxidation, size 190x165x452mm.",
oraimo SpaceBox Pro Wireless Speaker (OBS-682),Speakers & Home Theaters,JNE-OBS682-987,OBS-682,335340,10,"Wireless Speaker. SPECS
Product Size: 328*152*138mm
Bluetooth Version: V5.4
Bluetooth Range: 10m
Frequency Response: 50Hz-20KHz
Battery Capacity: 5000mAh/7.4V
Playtime: 13 Hours (Maximum Volume), 20 Hours (Medium Volume)
Speaker Output: 80W
Play Mode：Bluetooth, AUX-In, Memory Card, USB Drive, Built-In Mic, 6.35 Mic-In
*oraimo Lab test results",
"oraimo Watch Pro AM Smartwatch (OSW-811H, Black)",Smart Watches,JNE-OSW811HB-203,OSW-811H BLACK,372600,10,"oraimo Watch Pro AM smartwatch (OSW-811H) - 1.85"" AMOLED display (390x450), Bluetooth 5.2, 300mAh battery with about 2-hour charge time, up to 28 days standby / 14 days typical use, ABS/PC/aluminium-alloy build, works with the oraimo health app.",
"oraimo NutriFry Duo Air Fryer (OH-AF510N, Black)",Home Appliances,JNE-OHAF510N-489,OH-AF510N BLACK,372600,10,"AIR FRYER. SPECS
Material of the Pot: 304 Stainless Steel
Grill Material: Aluminum Plated Plate + Non-Stick Pot Coating
Rated Voltage: 220-240V 50/60Hz
Rated Power: 2800W
Capacity: 8L",
oraimo PowerCube 10 Sleek 10W Wall Charger Kit (OCW-1113UC),Charges & Cables,JNE-OCW1113U-384,OCW1113UC,15525,163,"CHARGER BIG BOXEDInput    100-240V 50-60Hz
Output    5V 2A
Cable    Micro-USB/Type-C/Lightning
Model    OCW-1111U
Features    Compact Size; Anti-sweat & Fingerprints; Multi-protection System",
Oraimo OCW-1112U+C53 Compact Wall Charger Kit,Charges & Cables,JNE-OCW1112U-564,OCW1112UM,12420,199,"Description
Product Parameters:
Model: OCW-1112UM-BLACK
Plug Type: UK Type
Color: Black
Input: 180-240V～ 50/60Hz 0.25A Max
Output: 5.0V⎓2.0A
Type: Micro-USB, Type-c, Lightning
Length: 1m
Output: 2A",
oraimo Candy 1m 2.1A Micro USB Cable,Charges & Cables,JNE-M22P-750,M22P,5175,180,"oraimo Candy 1m 2.1A Micro USB Cable — Oraimo micro usb cable ocd m22p candy.Description
Product Parameters:
oraimo Candy Micro USB Fast Charging Flat Cable

Product Features:

Output: 5V 2.1A
Plug Type: Micro USB
Length: 1m
model: OCD-M22P

Fast Charge & Sync
Selecting superior copper varnished cable core, it can achieve fast charging efficiency and transfer data to and from your devices at a high speed.

Incredibly Durable
Adopting high-quality PVC material, the cable is much more durable than a normal one.

Tangle Free
Flat design enables the cable to be tangle-free. No worry about twisting.

Creative Colours
Choose from five vibrant colors to match any device, purse, bag or room. Stand out from the crowd and easily spot your cable.",
ORAIMO Type C 1 m CandyLine 2,Charges & Cables,JNE-121C-954,121C,6210,300,"ORAIMO Type C 1 m CandyLine 2 OCD-121C 2.4A Fast Charging Hi-Speed Sync (Compatible with ALL DEVICES, Light Blue, One Cable, USB Type A To USB Type C)",
"oraimo Necklace Lite Earbuds (OEB-311, Light Gold)",Headphones & Earbuds,JNE-OEB311-473,OEB311,51750,12,"NECKLACE EARBUDS. SPECS
Bluetooth Version: V5.3
Bluetooth Range: 10m
Battery Capacity: 220mAh
Playtime: Up to 30 hours
Case Input: Type-C
Model: OEB-311",
oraimo Necklace 5 Earbuds (OEB-611),Headphones & Earbuds,JNE-OEB611-266,OEB611,82800,3,"oraimo Necklace 5 Earbuds (OEB-611) — Personalized vibration alert 40 hour long playtime charges 10 mins play 12hrs sound360 spatial audio magnetic auto switch al call noise cancellation dual device connection necklace 5. SPECS
Necklace 5-0EB-611(Neckband Wireless Earphone)
Bluetooth Version: V5.4; Wireless Range: 10m;
Battery Capacity: 260mAh;
Playtime: Up to 40 hours (ANC OFF); Up to 28 hours (ANC ON);
Charging Input: Type-C",
"oraimo Duraline 4 3-in-1 Charging Cable (generic listing, likely OCD-118MCL)",Charges & Cables,JNE-3IN1-479,3 IN 1,15525,1,"Description
Product Parameters:
TYPE: USB-A to Type-C & Lightning &Micro-USB

Type-C: 3A ,60W Max
Lightning: 2.4A，12W Max
Micro-USB: 2.4A，12W Max
Transfer rate:
Type-C: Up to 480Mbps
Input: USB A
Output: Type C & Lightning & Micro-USB
Length：1.2M",
oraimo PowerNova QF1 Power Bank (OPB-7270Q),Power Banks,JNE-OPB7270Q-463,OPB7270Q,103500,3,"SPECS
PowerNova QF1 -OPB-7270Q(Power Bank)
Capacity: 27000mAh (99.9Wh); Input 1(ype-C): 5V=3A; 9V==2.22A; 12V= 1.67A;
Output 1/2(USB-A): 5V=3A; 9V=2.22A;12V=1.67A;10V=2.25A; Output 3(Type-C): 5V=3A;9V-2.22A: 12V-1.67A: 10V-2.25A
Total Output: 5V= 3A(Max) *oraimo Lab test results",
oraimo Traveler 12 Byte Power Bank (OPB-1205N),Power Banks,JNE-OPB1201P-314,OPB1201P,62100,10,"Description
Product Parameters:
Input 1 (Type-C): 5V 3A
Input 2 (Micro USB):5V 2A
Output 1/Output 2 (USB-A): 5V 3A (Max)
Output 3 (Type-C):5V 3A (Max)
Total Output: 5V 3A (Max)
*oraimo Lab test results.

Model: OPB-1201P",
"oraimo Slice Link 10000mAh Power Bank, 3 Built-in Cables (OPB-P5101)",Power Banks,JNE-OPB5101-786,OPB5101,51750,1,"SPECS
Capacity: 10000mAh (37Wh)
Input 1 Micro:5V 2A
Input 2 Type-C: 5V 2A
Output USB-A : 5V 2.4A(Max)
Output Micro Cable/Type-C Cable:
5V 2.1A",
oraimo PowerFlow B11 15W Type-C Fast Charging Power Bank (OPB-1102),Power Banks,JNE-OPB1102-373,OPB1102,41400,6,"POWER BANK. SPECS
Capacity/Energy: 10000mAh/37Wh; Input 1 (Type-C): 5V=3A, (15W Max); Output 1 (USB-A): 5V=3A,
(15W Max); Output 2 (USB-A): 5V=3A, (15W Max); Output 3 (Type-C): 5V=3A, (15W Max); Total Output:
15W Max *oraimo Lab test results
Based on Apple's official data, iPhone 15 Pro supports up to 23 hoburs of video playback per charge.
This power bank extends usage by up to 46 hours. Actual usage may vary
oraimo Lab test results for the number of charges for iPh 15 Pro.",
oraimo MagPower 15 Wireless Power Bank (OPB-7102W),Power Banks,JNE-OPB7102W-818,OPB7102W,103500,9,"SPECS
Capacity/Energy: 10000mAh/36Wh;
Input 1 (Type-C): 5V = 3A; 9V = 2.222A; 12V ==1.67A;
Output 1(USB-A): 5V = 3A; 9V = 2.22A; 12V = 1.67A; 10V = 2.25A;
Output 2(Type-C): 5V = 3A; 9V = 2.22A; 12V = 1.67A; 10V = 2.25A;
Wireless Output: 5W/7.5W/10W/15W;
Total Output:15W(Max);",
oraimo Traveler 12 Byte Power Bank (OPB-1205N),Power Banks,JNE-OPB1205-799,OPB1205,72450,1,"SPECS
Capacity: 20000mAh (74Wh)
Input 1(Type-C): 5V=2A;
Input 2(Micro-USB): 5V=2A
Output 1(USB-A): 5V= 2.4A
Output 2(USB-A): 5V=2.4A
Output 3(Type-C): 5V=2.4A
Total Output: 5V== 2.4A (Max)",
oraimo PowerBox 400 Vision Power Bank (OPB-7400Q),Power Banks,JNE-OPB7400Q-763,OPB7400Q,207000,3,"oraimo PowerBox 400 Vision power bank (OPB-7400Q) - 40,000mAh/148Wh capacity; Type-C and Micro-USB inputs; up to four outputs (three USB-A, one Type-C) with fast-charge profiles up to 12V; 225W-class fast charging support.SPECS
Capacity: 40000mAh (148Wh);
Input 1(Type-C): 5V ⎓ 3A, 9V ⎓ 2A, 12V ⎓ 1.5A;
Input 2(Micro-USB): 5V ⎓ 2A, 9V ⎓ 2A, 12V ⎓ 1.5A;
Output 1(USB-A): 5V ⎓ 3A, 9V ⎓ 2A, 10V ⎓ 2.25A, 12V ⎓ 1.5A;
Output 2(USB-A): 5V ⎓ 3A, 9V ⎓ 2A, 10V ⎓ 2.25A, 12V ⎓ 1.5A;
Output 3(USB-A): 5V ⎓ 3A;
Output 4(Type-C): 5V ⎓ 3A, 9V ⎓ 2.2A, 12V ⎓ 1.75A;
Total Output: 15W Max",
oraimo PowerBox 300 Lite Power Bank (OPB-1301),Power Banks,JNE-OPB1301-173,OPB1301,155250,1,"oraimo PowerBox 300 Lite Power Bank (OPB-1301) — Powering beyond one week 15w 30000mah power bank powerbox 300 lite. SPECS
Capacity: 30000mAh (111Wh)
Input 1(Micro-USB): 5V/2A
Input 2(Type-C): 5V/3A
Output 1(Type-C): 5V/3A
Output 2(USB-A): 5V/3A
Output 3(USB-A): 5V/3A
Total Output: 5V/3A (Max)",
"oraimo Toast 15 Flash 10000mAh Power Bank (OPB-1100D, Light Gold)",Power Banks,JNE-OPB1100D-723,OPB1100D,46575,15,"Power Bank 10000mAh without Cable. SPECS
Capacity: 10000mAh (37 Wh)
Input 1(Micro-USB): 5V/2A
Input 2(Type-C): 5V/3A
Output 1(USB-A)：5V/3A(Max)
Output 2(USB-A)：5V/3A(Max)
 Output 3(Type-C)：5V/3A(Max)
Total Output: 5V/3A (Max)",
"oraimo Watch 5 Lite Smartwatch (OSW-804, Black)",Smart Watches,JNE-OSW804-750,OSW804,77625,9,"oraimo Watch 5 Lite smartwatch (OSW-804) - 2.01"" TFT display (240x296), Bluetooth 5.3, PC+ABS body, 300mAh lithium-polymer battery (about 3-hour charge), up to 7 days typical use / 28+ days standby, IP68 water resistance, 44g weight. SPECS
Display Screen: 2.01 "" TFT 240*296
Wireless Version: V5.3
Material: PC+ABS
Battery Type: Lithium polymer
Battery Capacity: 300mAh
Charging Time: 3 hours
Normal Usage Time: 7 days
Standby Time: More than 28 days
Weight: 44g
Watch Size: 53.6*40.7*12.2mm
Waterproof: IP68
*oraimo Lab test results",
"oraimo Watch 6 Smartwatch (OSW-807, Chrome)",Smart Watches,JNE-OSW807-275,OSW807,82800,3,"oraimo Watch 6 smartwatch (OSW-807) - 2.04"" TFT display, Bluetooth 5.3, ABS/PC/zinc-alloy body, 300mAh lithium-polymer battery (about 3-hour charge), up to 8 days typical use / 33+ days standby, IP68 water resistance. SPECS
Watch 6 - OSW-807 (Smart Watch)
Display Screen: 2.04"" TFT; BT Version: V5.3; Material: ABS/PC/Zinc alloy
Battery Capacity: 300mAh; Battery Type: Lithium polymer; Rated Voltage: 5V
Charging Time: 3 hours; Normal Usage Time: 8 days; Standby Time: More than 33 days;
Watch Size: 48.9*41*11.2mm (without strap); Weight: 57.2g (with strap)",
"oraimo Watch Nova AM Smartwatch (OSW-812, Light Chrome)",Smart Watches,JNE-OSW812-646,OSW812,134550,4,"oraimo Watch Nova AM Smartwatch (OSW-812, Light Chrome) — Vivld amoled ultimate power watch nova am. SPECS
Display Screen: 2.01'' AMOLED (390*450)
BT Version: V5.2
Material: ABS/PC/Silica gel
Battery Type: Lithium polymer
Battery Capacity: 340mAh
Charging Time: 3 hoursNormal
Using Time: 24 days
Standby Time: 60 days
Watch Size: 50.5*40*13.2mm
Weight: 41.5g
Waterproof: IP68",
"oraimo Watch 5R Pro Smartwatch (OSW-830, Black)",Smart Watches,JNE-OSW830-846,OSW830,155250,2,"oraimo Watch 5R Pro Smartwatch (OSW-830, Black) — Innovative display heartfelt care oraimo watch 5r pro. SPECS
Display Screen: 1.43"" AMOLED
BT Version: V5.3
Material: ABS/PC/Zinc alloy
Battery Capacity: 300mAh
Battery Type: Lithium polymer
Rated Voltage: 5V
Charging Time: 2.5 hours
Normal Usage Time: 11 days
Standby Time: More than 32 days
Watch Size: 46.5*11.4mm
Weight: 63.97g (with strap)
Waterproof: IP68
*oraimo Lab test results.",
oraimo Watch Nova RV Smartwatch (OSW-822N),Smart Watches,JNE-OSW822N-350,OSW822N,207000,1,"oraimo Watch Nova RV Smartwatch (OSW-822N) — Ai powered video faces live camera ai generated video watch faces anti scratch panda glass heart rate blood oxygen monitor up to 6 day usage with two free watch straps watch nova rv. SPECS
Display Screen: 1.39"" Full Touch Color Screen
BT Version: V5.3
Material: ABS/PC/Zinc alloy
Battery Capacity: 300mAh
Battery Type: Lithium polymer
Rated Voltage: 5V
Charging Time: 3 Hours
Normal Usage Time:  6 Days
Waterproof: IP68
Standby Time: More than 21 Days
Watch Size: 48.3*12.2mm (without strap)
Weight: 74.73g (without strap）",
oraimo SmartTrimmer 2 Pro (OTR-280),Personal Care Appliances,JNE-OTR210-267,OTR210,72450,2,"Description
Product Parameters:
Charging Time: 1.5 Hours
Working Time: 1.5 Hours
Accessories: 4 Combs
Model：OTR-210
Market Name：SmartTrimmer Home",
oraimo SmartClipper Plus Hair Clipper (OCL-210),Personal Care Appliances,JNE-OCL210-573,OCL210,82800,3,"SPECS
Size    166.7mm*45.2mm*33.5mm
Material    Aluminum alloy+stainless steel
Battery Capacity    18650 3.7V/1200mAh
Charging    DC 5V 2A，Anifast
Vibrate    280 3.0V ;6500RPM
Moving knife adjustment    0.1-2.0mm
Limiting comb    3、6、9、12mm
Model    OCL-210",
oraimo EasyShave Shaver (ORS-280),Personal Care Appliances,JNE-ORS280-488,ORS280,103500,3,"SPECS
Input: 5V⎓1A
Rated Power: 5W
Charging Time: 1.5 Hours
Run Time: 1 Hour
Battery Capacity: 800mAh",
"oraimo SmartTrimmer 2 (OPC-TR12, approximate match for OPC-TR13N)",Personal Care Appliances,JNE-OPCTR13N-376,OPC-TR13N,77625,1,"oraimo SmartTrimmer 2 (OPC-TR12, approximate match for OPC-TR13N) — Long lasting battery performance smart trimmer 2. SPECS
Rated Voltage: 5V
Rated Power: 5W
Charging Time: 2 hours
Working Time: 2.5 hours
Model：OPC-TR12",
oraimo SmartClipper Pro Max Hair Clipper (OCL-560),Personal Care Appliances,JNE-CLIPPERP-755,CLIPPER PRO MAX,,1,"oraimo SmartClipper Pro Max Hair Clipper (OCL-560) — Pro grade design enduring excellence smartclipper pro max. SPECS
Product Size: 180*56.7*38.8mm
Product Material: Aluminum alloy+PC
Blade Material: Stainless steel+DLC coating
Rated Input: 5V⎓3A
Rated Power: 15W
Battery Capacity: 3.7V/4500mAh
Charging Time: 1.5-2 Hours
Full Run Time: 5 Hours",
"oraimo SpaceBuds Neo Earbuds (OTW-323, Black)",Headphones & Earbuds,JNE-OTW323-804,OTW323,56925,5,"oraimo SpaceBuds Neo Earbuds (OTW-323, Black) — Immersive sound everywhere spacebuds neo.SPECS
Bluetooth Version: V5.4
Bluetooth Range: 10m
Playtime: Up to 5 hours, the case provides additional 25 hours
Case Input:  Type-C
*oraimo Lab test results",
"oraimo SpaceBuds Lite Earbuds (OTW-324, Speed Black)",Headphones & Earbuds,JNE-OTW324-670,OTW324,56925,5,"oraimo SpaceBuds Lite Earbuds (OTW-324, Speed Black) — Powerful bass pure immersion spacebuds lite. SPECS
Bluetooth Version: V5.4
Range: 10m
Playtime: Up to 7 hours; the case provides
additional 33 hours.
Case Input: Type-C
*oraimo Lab test results",
"oraimo SpaceBuds Neo+ Earbuds (OTW-323P, Black)",Headphones & Earbuds,JNE-OTW323P-324,OTW323P,67275,3,"oraimo SpaceBuds Neo+ Earbuds (OTW-323P, Black) — Tune in noise out active noise cancellation elegant metallic design 30 hour long playtime sound360 spatial audio spacebuds neo. SPECS
Bluetooth Version: V5.4
Range: 10m
Playtime:
Up to 5 hours, the case provides additional 25 hours (ANC OFF)
Up to 4 hours, the case provides additional 20 hours (ANC ON)
Case Input: Type-C
*oraimo Lab test results",
"oraimo Wireless Earbuds (OTW-330S, Black)",Headphones & Earbuds,JNE-OTW330S-801,OTW330S,56925,8,"oraimo FreePods Neo true wireless earbuds (OTW-330S) - Bluetooth 5.3, half-in-ear fit, 12.4mm drivers, 6-mic ENC for calls, Sound360 spatial audio, up to 50 hours total playtime (7h buds + 43h case), AniFast fast charge, IPX4 water resistance.",
"oraimo SpaceBuds Earbuds (OTW-630, Space Grey)",Headphones & Earbuds,JNE-OTW630-432,OTW630,155250,2,"Space Pods SPECS
Bluetooth Version: V5.4
Range: 10m
Music Playtime: Up to 11 hours, the case provides additional 29 hours (ANC OFF); Up to 8 hours, the case provides additional 21 hours (ANC ON)
Battery Capacity: 76mAh (each earbud)
Charging Time: Approx. 1.5 hours
*oraimo Lab test resul",
"oraimo SpaceBuds Z Earbuds (OTW-625, Black)",Headphones & Earbuds,JNE-OTW625-963,OTW625,155250,2,"oraimo SpaceBuds Z Earbuds (OTW-625, Black) — Clarity in every beat spacebuds z. SPECS
Bluetooth Version: V5.4
Range: 10m
Playtime:
Up to 10 hours; the case provides additional 28 hours. (ANC OFF)
Up to 8.5 hours; the case provides additional 23.5 hours. (ANC ON)
Case Input:  Type-C",
oraimo SpaceBuds N Earbuds (OTW-626N),Headphones & Earbuds,JNE-OTW626-886,OTW626,67275,1,"oraimo SpaceBuds N Earbuds (OTW-626N) — Pure sound crisp call spacebuds n. SPECS
Bluetooth Version: V5.4
Range: 10m
Playtime: Up to 10 hours, the case provides additional 28 hours (ANC OFF);
Up to 8.5 hours, the case provides additional 23.5 hours (ANC ON)
Case Input: Type-C
*oraimo Lab test results",
Oraimo OEB5104DC Earbuds,Headphones & Earbuds,JNE-OEB5104D-894,OEB5104DC,,1,"Likely oraimo FreePods 3C true-wireless earbuds (closest match found online: OEB-E104DC) - dual in-ear/half-in-ear fit, 13mm HeavyBass drivers, Bluetooth 5.3, ~8h buds/36h with case, 4-mic ENC for calls, IPX5 (earbuds only). Exact SKU could not be confirmed online — please verify against the physical unit/packaging.",
"oraimo OpenArc Earbuds (OPN-675, AFR)",Headphones & Earbuds,JNE-OPN675-157,OPN 675,186300,3,"oraimo OpenArc Earbuds (OPN-675, AFR) — Feel the freedom wear the comfort openarc. SPECS
Bluetooth Version: V5.4
Bluetooth Range: 10m
Playtime: Up to 8 hours; the case provides an additional 28 hours.
Charging Time: Approx. 1.5 hours
Charging Port: Type-C
*oraimo Lab test results",
"oraimo OpenSnap Earbuds (OPN-373, Gravity Black)",Headphones & Earbuds,JNE-OPN373-334,OPN373,87975,3,"SPECS
Bluetooth Version: V5.4;
Range: 10m;
Playtime: Up to 6 hours, the case provides additional 20 hours;
Case Input: Type-C
*oraimo Lab test results",
"oraimo OpenCirclet 2 Neckband Earphones (OPN-672, Black)",Headphones & Earbuds,JNE-OPN672-941,OPN672,191475,4,"Neck earphones SPECS
Bluetooth Version: V5.4BT
Range: ≥10m
Playtime: Up to 16 hours
Charging Port: Type-C
*oraimo Lab test result",
Oraimo OCC-1152D+X93 Car Charger With Cable,Charges & Cables,JNE-OCC1152D-132,OCC1152D+X93,20700,26,"oraimo Highway 15 car charger with 3-in-1 cable (OCC-1152D-X93) - dual USB-A car charger, 15.5W total output (5V/3.1A per port), LED light ring, bundled with a 1.2m 3-in-1 (Micro-USB/Type-C/Lightning) charging cable rated 5V/3A.",
oraimo Bullet 48 Car Charger (OCC-73D),Charges & Cables,JNE-OCC73D-924,OCC-73D,36225,9,"oraimo Bullet 48 Car Charger (OCC-73D) — Small size ultra fast bullet 48. SPECS
Input: DC 12～24V
Output1 USB-A: 5V/3A, 9V/2A, 12V/1.5A
Output2 Type-C: 5V/3A, 9V/3A, 11V/2.72A",
Oraimo E320S,Charges & Cables,JNE-E320S-423,E320S,10350,99,"oraimo Conch-family 3.5mm wired in-ear earphone (closest naming match: OEP-E320S/Conch line) - typically ~10mm driver, in-line mic, 1.2m cable. Exact SKU and full spec sheet could not be confirmed online — please verify against the physical unit/packaging.",
ORAIMO OCD-114M 2A USB CABLE,Charges & Cables,JNE-114M-510,114M,5175,45,"NORMAL CABLE. Connection Type: Micro USB 2.0 Type-B
Length: 1M
Material: Nylon Braided Cable with Metal Shell
Data Transfer Rate: 480 Mbps
Chraging: 2.4A Fast Charging
Compatibility: Mobile, Charger, Laptop, etc,.",
"oraimo BoomPop Pro Headphones (OHP-917, Graphite)",Headphones & Earbuds,JNE-OHP917-374,OHP917,155250,4,"oraimo BoomPop Pro Headphones (OHP-917, Graphite) — Silence meets clarity boompop pro. SPECS
Bluetooth Version: V5.4
Bluetooth Range: 10m
Playtime: Up to 82 hours (ANC OFF); up to 53 hours (ANC ON)
Charging Time: Approx. 2 hours
Charging Port: Type-C",
